social_site,date,number_results,error
gab,2022-02-20,67,NA
telegram,2022-02-21,24,NA
truth_social,2022-02-21,4,NA
gettr,2022-02-21,142,NA
parler,2022-02-21,26,NA
gab,2022-02-21,76,NA
telegram,2022-02-22,23,NA
truth_social,2022-02-22,8,NA
gettr,2022-02-22,164,NA
parler,2022-02-22,37,NA
gab,2022-02-22,68,NA
telegram,2022-02-23,33,NA
truth_social,2022-02-23,4,NA
gettr,2022-02-23,162,NA
parler,2022-02-23,47,NA
gab,2022-02-23,87,NA
telegram,2022-02-24,16,NA
truth_social,2022-02-24,11,NA
gettr,2022-02-24,145,NA
parler,2022-02-24,25,NA
gab,2022-02-24,79,NA
telegram,2022-02-25,15,NA
truth_social,2022-02-25,13,NA
gettr,2022-02-25,146,NA
parler,2022-02-25,44,NA
gab,2022-02-25,86,NA
telegram,2022-02-26,16,NA
truth_social,2022-02-26,12,NA
gettr,2022-02-26,143,NA
parler,2022-02-26,23,NA
gab,2022-02-26,77,NA
telegram,2022-02-27,30,NA
truth_social,2022-02-27,13,NA
gettr,2022-02-27,133,NA
parler,2022-02-27,21,NA
gab,2022-02-27,50,NA
telegram,2022-02-28,46,NA
truth_social,2022-02-28,23,NA
gettr,2022-02-28,223,NA
parler,2022-02-28,61,NA
gab,2022-02-28,66,NA
telegram,2022-03-01,84,NA
truth_social,2022-03-01,22,NA
gettr,2022-03-01,453,NA
parler,2022-03-01,36,NA
gab,2022-03-01,470,NA
telegram,2022-03-02,56,NA
truth_social,2022-03-02,8,NA
gettr,2022-03-02,373,NA
parler,2022-03-02,44,NA
gab,2022-03-02,377,NA
telegram,2022-03-03,18,NA
truth_social,2022-03-03,4,NA
gettr,2022-03-03,166,NA
parler,2022-03-03,35,NA
gab,2022-03-03,122,NA
telegram,2022-03-04,27,NA
truth_social,2022-03-04,13,NA
gettr,2022-03-04,201,NA
parler,2022-03-04,33,NA
gab,2022-03-04,154,NA
telegram,2022-03-05,22,NA
truth_social,2022-03-05,7,NA
gettr,2022-03-05,155,NA
parler,2022-03-05,28,NA
gab,2022-03-05,84,NA
telegram,2022-03-06,22,NA
truth_social,2022-03-06,2,NA
gettr,2022-03-06,147,NA
parler,2022-03-06,18,NA
gab,2022-03-06,59,NA
telegram,2022-03-07,25,NA
truth_social,2022-03-07,28,NA
gettr,2022-03-07,107,NA
parler,2022-03-07,27,NA
gab,2022-03-07,90,NA
telegram,2022-03-08,28,NA
truth_social,2022-03-08,16,NA
gettr,2022-03-08,148,NA
parler,2022-03-08,27,NA
gab,2022-03-08,121,NA
telegram,2022-03-09,19,NA
truth_social,2022-03-09,56,NA
gettr,2022-03-09,130,NA
parler,2022-03-09,17,NA
gab,2022-03-09,102,NA
telegram,2022-03-10,14,NA
truth_social,2022-03-10,26,NA
gettr,2022-03-10,128,NA
parler,2022-03-10,10,NA
gab,2022-03-10,57,NA
telegram,2022-03-11,12,NA
truth_social,2022-03-11,32,NA
gettr,2022-03-11,90,NA
parler,2022-03-11,15,NA
gab,2022-03-11,59,NA
telegram,2022-03-12,22,NA
truth_social,2022-03-12,67,NA
gettr,2022-03-12,127,NA
parler,2022-03-12,7,NA
gab,2022-03-12,80,NA
telegram,2022-03-13,25,NA
truth_social,2022-03-13,42,NA
gettr,2022-03-13,92,NA
parler,2022-03-13,41,NA
gab,2022-03-13,56,NA
telegram,2022-03-14,21,NA
truth_social,2022-03-14,25,NA
gettr,2022-03-14,123,NA
parler,2022-03-14,19,NA
gab,2022-03-14,94,NA
telegram,2022-03-15,28,NA
truth_social,2022-03-15,26,NA
gettr,2022-03-15,113,NA
parler,2022-03-15,35,NA
gab,2022-03-15,87,NA
telegram,2022-03-16,28,NA
truth_social,2022-03-16,10,NA
gettr,2022-03-16,94,NA
parler,2022-03-16,31,NA
gab,2022-03-16,104,NA
telegram,2022-03-17,26,NA
truth_social,2022-03-17,20,NA
gettr,2022-03-17,123,NA
parler,2022-03-17,18,NA
gab,2022-03-17,92,NA
telegram,2022-03-18,13,NA
truth_social,2022-03-18,30,NA
gettr,2022-03-18,97,NA
parler,2022-03-18,14,NA
gab,2022-03-18,99,NA
telegram,2022-03-19,7,NA
truth_social,2022-03-19,48,NA
gettr,2022-03-19,75,NA
parler,2022-03-19,10,NA
gab,2022-03-19,95,NA
telegram,2022-03-20,11,NA
truth_social,2022-03-20,14,NA
gettr,2022-03-20,64,NA
parler,2022-03-20,7,NA
gab,2022-03-20,60,NA
telegram,2022-03-21,30,NA
truth_social,2022-03-21,69,NA
gettr,2022-03-21,124,NA
parler,2022-03-21,13,NA
gab,2022-03-21,78,NA
telegram,2022-03-22,31,NA
truth_social,2022-03-22,47,NA
gettr,2022-03-22,214,NA
parler,2022-03-22,30,NA
gab,2022-03-22,125,NA
telegram,2022-03-23,38,NA
truth_social,2022-03-23,45,NA
gettr,2022-03-23,238,NA
parler,2022-03-23,27,NA
gab,2022-03-23,162,NA
telegram,2022-03-24,20,NA
truth_social,2022-03-24,113,NA
gettr,2022-03-24,281,NA
parler,2022-03-24,29,NA
gab,2022-03-24,226,NA
telegram,2022-03-25,36,NA
truth_social,2022-03-25,111,NA
gettr,2022-03-25,484,NA
parler,2022-03-25,23,NA
gab,2022-03-25,306,NA
telegram,2022-03-26,19,NA
truth_social,2022-03-26,65,NA
gettr,2022-03-26,274,NA
parler,2022-03-26,17,NA
gab,2022-03-26,173,NA
telegram,2022-03-27,47,NA
truth_social,2022-03-27,40,NA
gettr,2022-03-27,171,NA
parler,2022-03-27,41,NA
gab,2022-03-27,109,NA
telegram,2022-03-28,25,NA
truth_social,2022-03-28,84,NA
gettr,2022-03-28,198,NA
parler,2022-03-28,23,NA
gab,2022-03-28,104,NA
telegram,2022-03-29,69,NA
truth_social,2022-03-29,134,NA
gettr,2022-03-29,211,NA
parler,2022-03-29,35,NA
gab,2022-03-29,137,NA
telegram,2022-03-30,16,NA
truth_social,2022-03-30,90,NA
gettr,2022-03-30,282,NA
parler,2022-03-30,28,NA
gab,2022-03-30,195,NA
telegram,2022-03-31,43,NA
truth_social,2022-03-31,63,NA
gettr,2022-03-31,218,NA
parler,2022-03-31,39,NA
gab,2022-03-31,157,NA
telegram,2022-04-01,34,NA
truth_social,2022-04-01,69,NA
gettr,2022-04-01,127,NA
parler,2022-04-01,25,NA
gab,2022-04-01,87,NA
telegram,2022-04-02,30,NA
truth_social,2022-04-02,28,NA
gettr,2022-04-02,86,NA
parler,2022-04-02,33,NA
gab,2022-04-02,68,NA
telegram,2022-04-03,17,NA
truth_social,2022-04-03,42,NA
gettr,2022-04-03,153,NA
parler,2022-04-03,17,NA
gab,2022-04-03,107,NA
telegram,2022-04-04,43,NA
truth_social,2022-04-04,45,NA
gettr,2022-04-04,179,NA
parler,2022-04-04,29,NA
gab,2022-04-04,123,NA
telegram,2022-04-05,34,NA
truth_social,2022-04-05,37,NA
gettr,2022-04-05,266,NA
parler,2022-04-05,23,NA
gab,2022-04-05,159,NA
telegram,2022-04-06,27,NA
truth_social,2022-04-06,96,NA
gettr,2022-04-06,256,NA
parler,2022-04-06,29,NA
gab,2022-04-06,187,NA
telegram,2022-04-07,41,NA
truth_social,2022-04-07,72,NA
gettr,2022-04-07,239,NA
parler,2022-04-07,34,NA
gab,2022-04-07,238,NA
telegram,2022-04-08,62,NA
truth_social,2022-04-08,117,NA
gettr,2022-04-08,344,NA
parler,2022-04-08,29,NA
gab,2022-04-08,203,NA
telegram,2022-04-09,26,NA
truth_social,2022-04-09,130,NA
gettr,2022-04-09,206,NA
parler,2022-04-09,33,NA
gab,2022-04-09,184,NA
telegram,2022-04-10,66,NA
truth_social,2022-04-10,76,NA
gettr,2022-04-10,274,NA
parler,2022-04-10,27,NA
gab,2022-04-10,182,NA
telegram,2022-04-11,68,NA
truth_social,2022-04-11,189,NA
gettr,2022-04-11,188,NA
parler,2022-04-11,25,NA
gab,2022-04-11,142,NA
telegram,2022-04-12,39,NA
truth_social,2022-04-12,40,NA
gettr,2022-04-12,201,NA
parler,2022-04-12,18,NA
gab,2022-04-12,135,NA
telegram,2022-04-13,49,NA
truth_social,2022-04-13,117,NA
gettr,2022-04-13,205,NA
parler,2022-04-13,23,NA
gab,2022-04-13,127,NA
telegram,2022-04-14,16,NA
truth_social,2022-04-14,60,NA
gettr,2022-04-14,135,NA
parler,2022-04-14,34,NA
gab,2022-04-14,80,NA
telegram,2022-04-15,12,NA
truth_social,2022-04-15,41,NA
gettr,2022-04-15,75,NA
parler,2022-04-15,26,NA
gab,2022-04-15,70,NA
telegram,2022-04-16,5,NA
truth_social,2022-04-16,34,NA
gettr,2022-04-16,56,NA
parler,2022-04-16,21,NA
gab,2022-04-16,59,NA
telegram,2022-04-17,6,NA
truth_social,2022-04-17,53,NA
gettr,2022-04-17,65,NA
parler,2022-04-17,16,NA
gab,2022-04-17,41,NA
telegram,2022-04-18,13,NA
truth_social,2022-04-18,24,NA
gettr,2022-04-18,65,NA
parler,2022-04-18,22,NA
gab,2022-04-18,74,NA
telegram,2022-04-19,14,NA
truth_social,2022-04-19,26,NA
gettr,2022-04-19,62,NA
parler,2022-04-19,13,NA
gab,2022-04-19,67,NA
telegram,2022-04-20,24,NA
truth_social,2022-04-20,28,NA
gettr,2022-04-20,69,NA
parler,2022-04-20,25,NA
gab,2022-04-20,72,NA
telegram,2022-04-21,28,NA
truth_social,2022-04-21,57,NA
gettr,2022-04-21,79,NA
parler,2022-04-21,11,NA
gab,2022-04-21,96,NA
telegram,2022-04-22,20,NA
truth_social,2022-04-22,24,NA
gettr,2022-04-22,65,NA
parler,2022-04-22,46,NA
gab,2022-04-22,63,NA
telegram,2022-04-23,15,NA
truth_social,2022-04-23,32,NA
gettr,2022-04-23,68,NA
parler,2022-04-23,24,NA
gab,2022-04-23,52,NA
telegram,2022-04-24,17,NA
truth_social,2022-04-24,215,NA
gettr,2022-04-24,95,NA
parler,2022-04-24,39,NA
gab,2022-04-24,58,NA
telegram,2022-04-25,33,NA
truth_social,2022-04-25,234,NA
gettr,2022-04-25,113,NA
parler,2022-04-25,28,NA
gab,2022-04-25,105,NA
telegram,2022-04-26,25,NA
truth_social,2022-04-26,143,NA
gettr,2022-04-26,138,NA
parler,2022-04-26,39,NA
gab,2022-04-26,132,NA
telegram,2022-04-27,21,NA
truth_social,2022-04-27,98,NA
gettr,2022-04-27,98,NA
parler,2022-04-27,28,NA
gab,2022-04-27,79,NA
telegram,2022-04-28,10,NA
truth_social,2022-04-28,115,NA
gettr,2022-04-28,61,NA
parler,2022-04-28,28,NA
gab,2022-04-28,105,NA
telegram,2022-04-29,13,NA
truth_social,2022-04-29,63,NA
gettr,2022-04-29,53,NA
parler,2022-04-29,57,NA
gab,2022-04-29,43,NA
telegram,2022-04-30,7,NA
truth_social,2022-04-30,53,NA
gettr,2022-04-30,62,NA
parler,2022-04-30,22,NA
gab,2022-04-30,31,NA
telegram,2022-05-01,9,NA
truth_social,2022-05-01,61,NA
gettr,2022-05-01,61,NA
parler,2022-05-01,39,NA
gab,2022-05-01,40,NA
telegram,2022-05-02,10,NA
truth_social,2022-05-02,114,NA
gettr,2022-05-02,47,NA
parler,2022-05-02,28,NA
gab,2022-05-02,36,NA
telegram,2022-05-03,23,NA
truth_social,2022-05-03,121,NA
gettr,2022-05-03,162,NA
parler,2022-05-03,17,NA
gab,2022-05-03,100,NA
telegram,2022-05-04,27,NA
truth_social,2022-05-04,190,NA
gettr,2022-05-04,103,NA
parler,2022-05-04,17,NA
gab,2022-05-04,92,NA
telegram,2022-05-05,10,NA
truth_social,2022-05-05,110,NA
gettr,2022-05-05,88,NA
parler,2022-05-05,26,NA
gab,2022-05-05,50,NA
telegram,2022-05-06,21,NA
truth_social,2022-05-06,139,NA
gettr,2022-05-06,95,NA
parler,2022-05-06,23,NA
gab,2022-05-06,118,NA
telegram,2022-05-07,13,NA
truth_social,2022-05-07,85,NA
gettr,2022-05-07,76,NA
parler,2022-05-07,13,NA
gab,2022-05-07,58,NA
telegram,2022-05-08,28,NA
truth_social,2022-05-08,56,NA
gettr,2022-05-08,123,NA
parler,2022-05-08,19,NA
gab,2022-05-08,47,NA
telegram,2022-05-09,22,NA
truth_social,2022-05-09,184,NA
gettr,2022-05-09,199,NA
parler,2022-05-09,12,NA
gab,2022-05-09,164,NA
telegram,2022-05-10,18,NA
truth_social,2022-05-10,194,NA
gettr,2022-05-10,106,NA
parler,2022-05-10,10,NA
gab,2022-05-10,108,NA
telegram,2022-05-11,21,NA
truth_social,2022-05-11,515,NA
gettr,2022-05-11,132,NA
parler,2022-05-11,17,NA
gab,2022-05-11,92,NA
telegram,2022-05-12,21,NA
truth_social,2022-05-12,92,NA
gettr,2022-05-12,89,NA
parler,2022-05-12,14,NA
gab,2022-05-12,76,NA
telegram,2022-05-13,16,NA
truth_social,2022-05-13,83,NA
gettr,2022-05-13,71,NA
parler,2022-05-13,17,NA
gab,2022-05-13,66,NA
telegram,2022-05-14,16,NA
truth_social,2022-05-14,113,NA
gettr,2022-05-14,55,NA
parler,2022-05-14,19,NA
gab,2022-05-14,61,NA
telegram,2022-05-15,25,NA
truth_social,2022-05-15,201,NA
gettr,2022-05-15,189,NA
parler,2022-05-15,21,NA
gab,2022-05-15,144,NA
telegram,2022-05-16,28,NA
truth_social,2022-05-16,95,NA
gettr,2022-05-16,81,NA
parler,2022-05-16,25,NA
gab,2022-05-16,99,NA
telegram,2022-05-17,38,NA
truth_social,2022-05-17,115,NA
gettr,2022-05-17,118,NA
parler,2022-05-17,13,NA
gab,2022-05-17,99,NA
telegram,2022-05-18,35,NA
truth_social,2022-05-18,252,NA
gettr,2022-05-18,115,NA
parler,2022-05-18,21,NA
gab,2022-05-18,102,NA
telegram,2022-05-19,22,NA
truth_social,2022-05-19,177,NA
gettr,2022-05-19,84,NA
parler,2022-05-19,17,NA
gab,2022-05-19,43,NA
telegram,2022-05-20,48,NA
truth_social,2022-05-20,195,NA
gettr,2022-05-20,93,NA
parler,2022-05-20,17,NA
gab,2022-05-20,80,NA
telegram,2022-05-21,25,NA
truth_social,2022-05-21,218,NA
gettr,2022-05-21,124,NA
parler,2022-05-21,22,NA
gab,2022-05-21,100,NA
telegram,2022-05-22,28,NA
truth_social,2022-05-22,213,NA
gettr,2022-05-22,106,NA
parler,2022-05-22,17,NA
gab,2022-05-22,102,NA
telegram,2022-05-23,36,NA
truth_social,2022-05-23,367,NA
gettr,2022-05-23,116,NA
parler,2022-05-23,18,NA
gab,2022-05-23,71,NA
telegram,2022-05-24,19,NA
truth_social,2022-05-24,270,NA
gettr,2022-05-24,101,NA
parler,2022-05-24,21,NA
gab,2022-05-24,78,NA
telegram,2022-05-25,14,NA
truth_social,2022-05-25,167,NA
gettr,2022-05-25,97,NA
parler,2022-05-25,30,NA
gab,2022-05-25,64,NA
telegram,2022-05-26,22,NA
truth_social,2022-05-26,302,NA
gettr,2022-05-26,143,NA
parler,2022-05-26,23,NA
gab,2022-05-26,196,NA
telegram,2022-05-27,16,NA
truth_social,2022-05-27,297,NA
gettr,2022-05-27,55,NA
parler,2022-05-27,17,NA
gab,2022-05-27,55,NA
telegram,2022-05-28,9,NA
truth_social,2022-05-28,71,NA
gettr,2022-05-28,31,NA
parler,2022-05-28,9,NA
gab,2022-05-28,40,NA
telegram,2022-05-29,10,NA
truth_social,2022-05-29,136,NA
gettr,2022-05-29,52,NA
parler,2022-05-29,10,NA
gab,2022-05-29,53,NA
telegram,2022-05-30,3,NA
truth_social,2022-05-30,141,NA
gettr,2022-05-30,70,NA
parler,2022-05-30,8,NA
gab,2022-05-30,57,NA
telegram,2022-05-31,19,NA
truth_social,2022-05-31,99,NA
gettr,2022-05-31,68,NA
parler,2022-05-31,34,NA
gab,2022-05-31,41,NA
telegram,2022-06-01,8,NA
truth_social,2022-06-01,94,NA
gettr,2022-06-01,74,NA
parler,2022-06-01,24,NA
gab,2022-06-01,65,NA
telegram,2022-06-02,20,NA
truth_social,2022-06-02,91,NA
gettr,2022-06-02,93,NA
parler,2022-06-02,36,NA
gab,2022-06-02,93,NA
telegram,2022-06-03,16,NA
truth_social,2022-06-03,245,NA
gettr,2022-06-03,109,NA
parler,2022-06-03,13,NA
gab,2022-06-03,104,NA
telegram,2022-06-04,9,NA
truth_social,2022-06-04,177,NA
gettr,2022-06-04,114,NA
parler,2022-06-04,14,NA
gab,2022-06-04,86,NA
telegram,2022-06-05,13,NA
truth_social,2022-06-05,89,NA
gettr,2022-06-05,81,NA
parler,2022-06-05,13,NA
gab,2022-06-05,76,NA
telegram,2022-06-06,16,NA
truth_social,2022-06-06,76,NA
gettr,2022-06-06,65,NA
parler,2022-06-06,19,NA
gab,2022-06-06,49,NA
telegram,2022-06-07,12,NA
truth_social,2022-06-07,180,NA
gettr,2022-06-07,175,NA
parler,2022-06-07,18,NA
gab,2022-06-07,109,NA
telegram,2022-06-08,18,NA
truth_social,2022-06-08,103,NA
gettr,2022-06-08,120,NA
parler,2022-06-08,13,NA
gab,2022-06-08,96,NA
telegram,2022-06-09,14,NA
truth_social,2022-06-09,83,NA
gettr,2022-06-09,87,NA
parler,2022-06-09,8,NA
gab,2022-06-09,60,NA
telegram,2022-06-10,14,NA
truth_social,2022-06-10,98,NA
gettr,2022-06-10,128,NA
parler,2022-06-10,17,NA
gab,2022-06-10,131,NA
telegram,2022-06-11,18,NA
truth_social,2022-06-11,77,NA
gettr,2022-06-11,83,NA
parler,2022-06-11,22,NA
gab,2022-06-11,73,NA
telegram,2022-06-12,18,NA
truth_social,2022-06-12,74,NA
gettr,2022-06-12,78,NA
parler,2022-06-12,10,NA
gab,2022-06-12,43,NA
telegram,2022-06-13,16,NA
truth_social,2022-06-13,72,NA
gettr,2022-06-13,82,NA
parler,2022-06-13,14,NA
gab,2022-06-13,48,NA
telegram,2022-06-14,27,NA
truth_social,2022-06-14,69,NA
gettr,2022-06-14,68,NA
parler,2022-06-14,14,NA
gab,2022-06-14,52,NA
telegram,2022-06-15,7,NA
truth_social,2022-06-15,36,NA
gettr,2022-06-15,75,NA
parler,2022-06-15,14,NA
gab,2022-06-15,46,NA
telegram,2022-06-16,25,NA
truth_social,2022-06-16,53,NA
gettr,2022-06-16,49,NA
parler,2022-06-16,11,NA
gab,2022-06-16,42,NA
telegram,2022-06-17,32,NA
truth_social,2022-06-17,90,NA
gettr,2022-06-17,107,NA
parler,2022-06-17,15,NA
gab,2022-06-17,106,NA
telegram,2022-06-18,21,NA
truth_social,2022-06-18,62,NA
gettr,2022-06-18,93,NA
parler,2022-06-18,10,NA
gab,2022-06-18,79,NA
telegram,2022-06-19,27,NA
truth_social,2022-06-19,32,NA
gettr,2022-06-19,112,NA
parler,2022-06-19,20,NA
gab,2022-06-19,43,NA
telegram,2022-06-20,39,NA
truth_social,2022-06-20,60,NA
gettr,2022-06-20,182,NA
parler,2022-06-20,26,NA
gab,2022-06-20,134,NA
telegram,2022-06-21,63,NA
truth_social,2022-06-21,213,NA
gettr,2022-06-21,218,NA
parler,2022-06-21,26,NA
gab,2022-06-21,136,NA
telegram,2022-06-22,12,NA
truth_social,2022-06-22,127,NA
gettr,2022-06-22,98,NA
parler,2022-06-22,26,NA
gab,2022-06-22,72,NA
telegram,2022-06-23,22,NA
truth_social,2022-06-23,136,NA
gettr,2022-06-23,139,NA
parler,2022-06-23,14,NA
gab,2022-06-23,135,NA
telegram,2022-06-24,31,NA
truth_social,2022-06-24,114,NA
gettr,2022-06-24,165,NA
parler,2022-06-24,35,NA
gab,2022-06-24,173,NA
telegram,2022-06-25,10,NA
truth_social,2022-06-25,58,NA
gettr,2022-06-25,94,NA
parler,2022-06-25,16,NA
gab,2022-06-25,100,NA
telegram,2022-06-26,13,NA
truth_social,2022-06-26,28,NA
gettr,2022-06-26,67,NA
parler,2022-06-26,15,NA
gab,2022-06-26,59,NA
telegram,2022-06-27,10,NA
truth_social,2022-06-27,53,NA
gettr,2022-06-27,86,NA
parler,2022-06-27,10,NA
gab,2022-06-27,103,NA
telegram,2022-06-28,18,NA
truth_social,2022-06-28,52,NA
gettr,2022-06-28,99,NA
parler,2022-06-28,13,NA
gab,2022-06-28,63,NA
telegram,2022-06-29,28,NA
truth_social,2022-06-29,72,NA
gettr,2022-06-29,129,NA
parler,2022-06-29,34,NA
gab,2022-06-29,108,NA
telegram,2022-06-30,32,NA
truth_social,2022-06-30,84,NA
gettr,2022-06-30,149,NA
parler,2022-06-30,39,NA
gab,2022-06-30,93,NA
telegram,2022-07-01,27,NA
truth_social,2022-07-01,75,NA
gettr,2022-07-01,286,NA
parler,2022-07-01,22,NA
gab,2022-07-01,194,NA
telegram,2022-07-02,15,NA
truth_social,2022-07-02,48,NA
gettr,2022-07-02,99,NA
parler,2022-07-02,18,NA
gab,2022-07-02,74,NA
telegram,2022-07-03,5,NA
truth_social,2022-07-03,31,NA
gettr,2022-07-03,83,NA
parler,2022-07-03,12,NA
gab,2022-07-03,59,NA
telegram,2022-07-04,18,NA
truth_social,2022-07-04,16,NA
gettr,2022-07-04,56,NA
parler,2022-07-04,15,NA
gab,2022-07-04,36,NA
telegram,2022-07-05,11,NA
truth_social,2022-07-05,64,NA
gettr,2022-07-05,116,NA
parler,2022-07-05,17,NA
gab,2022-07-05,127,NA
telegram,2022-07-06,36,NA
truth_social,2022-07-06,121,NA
gettr,2022-07-06,164,NA
parler,2022-07-06,36,NA
gab,2022-07-06,181,NA
telegram,2022-07-07,35,NA
truth_social,2022-07-07,91,NA
gettr,2022-07-07,123,NA
parler,2022-07-07,13,NA
gab,2022-07-07,122,NA
telegram,2022-07-08,18,NA
truth_social,2022-07-08,57,NA
gettr,2022-07-08,75,NA
parler,2022-07-08,9,NA
gab,2022-07-08,47,NA
telegram,2022-07-09,10,NA
truth_social,2022-07-09,125,NA
gettr,2022-07-09,57,NA
parler,2022-07-09,7,NA
gab,2022-07-09,43,NA
telegram,2022-07-10,17,NA
truth_social,2022-07-10,49,NA
gettr,2022-07-10,44,NA
parler,2022-07-10,7,NA
gab,2022-07-10,31,NA
telegram,2022-07-11,26,NA
truth_social,2022-07-11,88,NA
gettr,2022-07-11,70,NA
parler,2022-07-11,15,NA
gab,2022-07-11,60,NA
telegram,2022-07-12,48,NA
truth_social,2022-07-12,90,NA
gettr,2022-07-12,106,NA
parler,2022-07-12,15,NA
gab,2022-07-12,58,NA
telegram,2022-07-13,30,NA
truth_social,2022-07-13,68,NA
gettr,2022-07-13,75,NA
parler,2022-07-13,15,NA
gab,2022-07-13,97,NA
telegram,2022-07-14,102,NA
truth_social,2022-07-14,1751,NA
gettr,2022-07-14,224,NA
parler,2022-07-14,24,NA
gab,2022-07-14,109,NA
telegram,2022-07-15,48,NA
truth_social,2022-07-15,702,NA
gettr,2022-07-15,169,NA
parler,2022-07-15,13,NA
gab,2022-07-15,132,NA
telegram,2022-07-16,19,NA
truth_social,2022-07-16,179,NA
gettr,2022-07-16,64,NA
parler,2022-07-16,8,NA
gab,2022-07-16,61,NA
telegram,2022-07-17,16,NA
truth_social,2022-07-17,125,NA
gettr,2022-07-17,68,NA
parler,2022-07-17,10,NA
gab,2022-07-17,49,NA
telegram,2022-07-18,18,NA
truth_social,2022-07-18,69,NA
gettr,2022-07-18,69,NA
parler,2022-07-18,7,NA
gab,2022-07-18,62,NA
telegram,2022-07-19,27,NA
truth_social,2022-07-19,79,NA
gettr,2022-07-19,149,NA
parler,2022-07-19,16,NA
gab,2022-07-19,126,NA
telegram,2022-07-20,40,NA
truth_social,2022-07-20,291,NA
gettr,2022-07-20,134,NA
parler,2022-07-20,31,NA
gab,2022-07-20,103,NA
telegram,2022-07-21,36,NA
truth_social,2022-07-21,123,NA
gettr,2022-07-21,233,NA
parler,2022-07-21,33,NA
gab,2022-07-21,207,NA
telegram,2022-07-22,38,NA
truth_social,2022-07-22,126,NA
gettr,2022-07-22,256,NA
parler,2022-07-22,34,NA
gab,2022-07-22,103,NA
telegram,2022-07-23,14,NA
truth_social,2022-07-23,71,NA
gettr,2022-07-23,148,NA
parler,2022-07-23,17,NA
gab,2022-07-23,101,NA
telegram,2022-07-24,13,NA
truth_social,2022-07-24,82,NA
gettr,2022-07-24,130,NA
parler,2022-07-24,31,NA
gab,2022-07-24,54,NA
telegram,2022-07-25,27,NA
truth_social,2022-07-25,50,NA
gettr,2022-07-25,130,NA
parler,2022-07-25,17,NA
gab,2022-07-25,99,NA
telegram,2022-07-26,35,NA
truth_social,2022-07-26,194,NA
gettr,2022-07-26,201,NA
parler,2022-07-26,17,NA
gab,2022-07-26,143,NA
telegram,2022-07-27,22,NA
truth_social,2022-07-27,109,NA
gettr,2022-07-27,152,NA
parler,2022-07-27,23,NA
gab,2022-07-27,121,NA
telegram,2022-07-28,21,NA
truth_social,2022-07-28,92,NA
gettr,2022-07-28,111,NA
parler,2022-07-28,22,NA
gab,2022-07-28,112,NA
telegram,2022-07-29,42,NA
truth_social,2022-07-29,59,NA
gettr,2022-07-29,174,NA
parler,2022-07-29,24,NA
gab,2022-07-29,85,NA
telegram,2022-07-30,10,NA
truth_social,2022-07-30,87,NA
gettr,2022-07-30,90,NA
parler,2022-07-30,30,NA
gab,2022-07-30,65,NA
telegram,2022-07-31,19,NA
truth_social,2022-07-31,85,NA
gettr,2022-07-31,109,NA
parler,2022-07-31,13,NA
gab,2022-07-31,53,NA
telegram,2022-08-01,27,NA
truth_social,2022-08-01,752,NA
gettr,2022-08-01,245,NA
parler,2022-08-01,16,NA
gab,2022-08-01,113,NA
telegram,2022-08-02,60,NA
truth_social,2022-08-02,761,NA
gettr,2022-08-02,321,NA
parler,2022-08-02,22,NA
gab,2022-08-02,185,NA
telegram,2022-08-03,61,NA
truth_social,2022-08-03,423,NA
gettr,2022-08-03,299,NA
parler,2022-08-03,24,NA
gab,2022-08-03,130,NA
telegram,2022-08-04,27,NA
truth_social,2022-08-04,71,NA
gettr,2022-08-04,105,NA
parler,2022-08-04,14,NA
gab,2022-08-04,60,NA
telegram,2022-08-05,16,NA
truth_social,2022-08-05,77,NA
gettr,2022-08-05,100,NA
parler,2022-08-05,18,NA
gab,2022-08-05,83,NA
telegram,2022-08-06,25,NA
truth_social,2022-08-06,58,NA
gettr,2022-08-06,67,NA
parler,2022-08-06,25,NA
gab,2022-08-06,68,NA
telegram,2022-08-07,17,NA
truth_social,2022-08-07,18,NA
gettr,2022-08-07,65,NA
parler,2022-08-07,8,NA
gab,2022-08-07,78,NA
telegram,2022-08-08,18,NA
truth_social,2022-08-08,159,NA
gettr,2022-08-08,206,NA
parler,2022-08-08,21,NA
gab,2022-08-08,126,NA
telegram,2022-08-09,101,NA
truth_social,2022-08-09,475,NA
gettr,2022-08-09,435,NA
parler,2022-08-09,29,NA
gab,2022-08-09,277,NA
telegram,2022-08-10,121,NA
truth_social,2022-08-10,627,NA
gettr,2022-08-10,558,NA
parler,2022-08-10,34,NA
gab,2022-08-10,298,NA
telegram,2022-08-11,72,NA
truth_social,2022-08-11,786,NA
gettr,2022-08-11,623,NA
parler,2022-08-11,31,NA
gab,2022-08-11,381,NA
telegram,2022-08-12,39,NA
truth_social,2022-08-12,428,NA
gettr,2022-08-12,203,NA
parler,2022-08-12,42,NA
gab,2022-08-12,158,NA
telegram,2022-08-13,30,NA
truth_social,2022-08-13,205,NA
gettr,2022-08-13,106,NA
parler,2022-08-13,22,NA
gab,2022-08-13,70,NA
telegram,2022-08-14,15,NA
truth_social,2022-08-14,179,NA
gettr,2022-08-14,81,NA
parler,2022-08-14,17,NA
gab,2022-08-14,51,NA
telegram,2022-08-15,10,NA
truth_social,2022-08-15,130,NA
gettr,2022-08-15,99,NA
parler,2022-08-15,17,NA
gab,2022-08-15,106,NA
telegram,2022-08-16,91,NA
truth_social,2022-08-16,280,NA
gettr,2022-08-16,257,NA
parler,2022-08-16,34,NA
